userid,movieid,ratings,timestamp,titles,genres
1,1193,5,978300760,One Flew Over the Cuckoo's Nest (1975),Drama
1,745,3,978824268,"Close Shave, A (1995)",Animation|Comedy|Thriller
1,2294,4,978824291,Antz (1998),Animation|Children's
2,1953,4,978298775,"French Connection, The (1971)",Action|Crime|Drama|Thriller
2,21,1,978299839,Get Shorty (1995),Action|Comedy|Drama
2,1597,3,978300025,Conspiracy Theory (1997),Action|Mystery|Romance|Thriller
3,1378,5,978297419,Young Guns (1988),Action|Comedy|Western
3,1379,4,978297419,Young Guns II (1990),Action|Comedy|Western
3,593,3,978297018,"Silence of the Lambs, The (1991)",Drama|Thriller
4,3418,4,978294260,Thelma & Louise (1991),Action|Drama
4,1240,5,978294260,"Terminator, The (1984)",Action|Sci-Fi|Thriller
4,2947,5,978294230,Goldfinger (1964),Action
5,2029,4,978246555,Billy's Hollywood Screen Kiss (1997),Comedy|Romance
5,2384,3,978245708,Babe: Pig in the City (1998),Children's|Comedy
5,1729,4,978245763,Jackie Brown (1997),Crime|Drama
6,1441,4,978236383,Benny & Joon (1993),Comedy|Romance
6,3699,4,978236567,Starman (1984),Adventure|Drama|Romance|Sci-Fi
6,17,4,978236383,Sense and Sensibility (1995),Drama|Romance
7,1573,4,978234874,Face/Off (1997),Action|Sci-Fi|Thriller
7,3753,4,978234737,"Patriot, The (2000)",Action|Drama|War
7,3107,3,978234898,Backdraft (1991),Action|Drama
8,3186,4,978230852,"Girl, Interrupted (1999)",Drama
8,3259,4,978231571,Far and Away (1992),Drama|Romance
8,17,4,978229571,Sense and Sensibility (1995),Drama|Romance
9,2959,4,978226123,Fight Club (1999),Drama
9,1148,4,978225333,"Wrong Trousers, The (1993)",Animation|Comedy
9,2166,4,978226197,Return to Paradise (1998),Drama|Romance
10,3095,4,978226212,"Grapes of Wrath, The (1940)",Drama
10,2291,4,978226896,Edward Scissorhands (1990),Drama|Romance
10,2436,5,978229227,Tea with Mussolini (1999),Comedy
11,2791,4,978903186,Airplane! (1980),Comedy
11,2795,5,978903701,Vacation (1983),Comedy
